id,name
1,"世界獸的頭蓋骨碎片"
2,"世界獸的左翼碎片"
3,"世界獸的右翼碎片"
4,"世界獸的左羽碎片"
5,"世界獸的右羽碎片"
6,"世界獸的背甲碎片"
7,"世界獸的尾巴碎片"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"行星獸的頭蓋骨碎片"
16,"行星獸的胸廓碎片"
17,"行星獸的心臟碎片"
18,"行星獸的左翼碎片"
19,"行星獸的右翼碎片"
20,"行星獸的背甲碎片"
21,"行星獸的尾巴碎片"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"從「生命統治者」身上得到的 巨大頭蓋骨碎片。 必須收集並分析更多樣本才能明白其價值。"
30,"從「生命統治者」身上剝下的左翼鱗片碎片。 必須收集並分析更多樣本才能明白其價值。"
31,"從「生命統治者」身上剝下的右翼鱗片碎片。 必須收集並分析更多樣本才能明白其價值。"
32,"從「生命統治者」身上掉下的左羽碎片。 必須收集並分析更多樣本才能明白其價值。"
33,"從「生命統治者」身上掉下的右羽碎片。 必須收集並分析更多樣本才能明白其價值。"
34,"從「生命統治者」身上削下的堅固背甲碎片。 必須收集並分析更多樣本才能明白其價值。"
35,"從「生命統治者」身上切下的尾巴碎片。 必須收集並分析更多樣本才能明白其價值。"
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"從行星破壞獸身上剝下的頭蓋骨碎片。 必須收集並分析更多樣本才能明白其價值。"
44,"從行星破壞獸身上切下的厚實胸廓碎片。 必須收集並分析更多樣本才能明白其價值。"
45,"從行星破壞獸身上得到的心肌纖維碎片。 必須收集並分析更多樣本才能明白其價值。"
46,"從行星破壞獸身上切下的柔軟左翼碎片。 必須收集並分析更多樣本才能明白其價值。"
47,"從行星破壞獸身上切下的柔軟右翼碎片。 必須收集並分析更多樣本才能明白其價值。"
48,"從行星破壞獸身上剝下的堅固背甲碎片。 必須收集並分析更多樣本才能明白其價值。"
49,"從行星破壞獸身上得到的巨大尾羽碎片。 必須收集並分析更多樣本才能明白其價值。"
50,""
51,""
52,""
53,""
54,""
55,""
56,""
